Dataset,dims,Sil_fine,Sil_coarse,Sil_avg,KNN_acc_fine,n_k_fine,KNN_acc_coarse,n_k_coarse,HSil_fine,HSil_coarse,HSil_avg,HKNN_acc_fine,HKNN_acc_coarse
3BirdSpecies9individuals,3,-0.17600206399312923,0.1298273929375212,-0.02308733552780401,0.3526570048309179,17,0.642512077294686,38,-0.17612301205191785,0.15979377874296646,-0.008164616654475695,0.0,0.6666666666666666
3BirdSpecies9individuals,4,-0.11170159575351266,0.20270203075977986,0.0455002175031336,0.463768115942029,32,0.7584541062801933,27,-0.0685041175850229,0.20135644554818394,0.06642616398158052,0.0,0.7111111111111111
3BirdSpecies9individuals,8,-0.01306947515747146,0.22304210269902006,0.1049863137707743,0.6086956521739131,8,0.8840579710144928,6,0.13505736854089587,0.25827391470743843,0.19666564162416716,0.0,0.8333333333333334
3BirdSpecies9individuals,16,0.044775669328411136,0.2004583876100815,0.12261702846924633,0.7053140096618358,6,0.9033816425120773,6,0.18910349012371938,0.2565125527464969,0.22280802143510814,0.0,0.8444444444444444
3BirdSpecies9individuals,32,0.04418153407035611,0.17791508845493867,0.11104831126264739,0.7004830917874396,15,0.9082125603864735,7,0.20061394958652323,0.24601239693111915,0.2233131732588212,0.0,0.8555555555555555
3BirdSpecies9individuals,64,0.04443632444339894,0.16577072859328407,0.10510352651834151,0.7198067632850241,15,0.893719806763285,8,0.21379449413141174,0.23913816672714994,0.22646633042928083,0.0,0.8555555555555555
3BirdSpecies9individuals,128,0.043408485095643705,0.1583258124444689,0.1008671487700563,0.714975845410628,14,0.893719806763285,8,0.21659781154215857,0.23065250305909993,0.22362515730062926,0.0,0.8555555555555555
3BirdSpecies9individuals,256,0.04249997678458846,0.15439097702475355,0.09844547690467101,0.7391304347826086,3,0.893719806763285,8,0.21625037569248381,0.2257421704688363,0.22099627308066006,0.0,0.8444444444444444
3BirdSpecies9individuals,512,0.04210109808574405,0.15277734394110173,0.0974392210134229,0.7391304347826086,4,0.893719806763285,8,0.21544719477284024,0.22363542035017514,0.2195413075615077,0.0,0.8555555555555555
3BirdSpecies9individuals,768,0.04203860090532474,0.15252429883229732,0.09728144986881103,0.7294685990338164,12,0.893719806763285,8,0.21526821293947643,0.22319917683095067,0.21923369488521355,0.0,0.8555555555555555
Nsynth,3,-0.33360272908639177,0.011238414542542662,-0.16118215727192456,0.5265700483091788,10,0.6763285024154589,18,-0.2754535420707188,-0.030444086550338496,-0.15294881431052865,0.0,0.36666666666666664
Nsynth,4,-0.24366046122082805,0.027750955200018614,-0.10795475301040472,0.5603864734299517,1,0.6956521739130435,1,-0.25662113412712667,-0.027046807908484658,-0.14183397101780568,0.0,0.4444444444444444
Nsynth,8,-0.1538820010223083,0.06358855724313625,-0.04514672188958603,0.7246376811594203,1,0.8647342995169082,3,-0.20459654018420145,-0.013068149841397737,-0.10883234501279959,0.0,0.45555555555555555
Nsynth,16,-0.11598837596655494,0.05488377140992882,-0.03055230227831306,0.7101449275362319,23,0.8405797101449275,7,-0.18915935602667824,-0.012455019813358649,-0.10080718792001844,0.0,0.4888888888888889
Nsynth,32,-0.09889528213080201,0.04847457225519891,-0.02521035493780155,0.8164251207729468,1,0.9082125603864735,1,-0.17534644325998372,-0.012279844613276041,-0.09381314393662989,0.0,0.5333333333333333
Nsynth,64,-0.09095462067023524,0.04525924842038521,-0.022847686124925017,0.8164251207729468,1,0.9082125603864735,1,-0.16682403073321256,-0.012500675316126537,-0.08966235302466954,0.0,0.5333333333333333
Nsynth,128,-0.08747051372081867,0.04375542507346684,-0.021857544323675916,0.8357487922705314,1,0.9227053140096618,1,-0.16179453341692232,-0.012339092756919788,-0.08706681308692106,0.0,0.5333333333333333
Nsynth,256,-0.08578876536538081,0.043062462367054626,-0.021363151499163093,0.8357487922705314,1,0.927536231884058,1,-0.15865878218535553,-0.011793813728709994,-0.08522629795703277,0.0,0.5333333333333333
Nsynth,512,-0.08524839935826457,0.042834242181433134,-0.02120707858841572,0.8405797101449275,1,0.927536231884058,1,-0.15764236163386797,-0.011749895716506694,-0.08469612867518733,0.0,0.5333333333333333
Nsynth,768,-0.08516153905082995,0.04281547909688373,-0.02117302997697311,0.8405797101449275,1,0.927536231884058,1,-0.157437585131281,-0.011743878599702799,-0.0845907318654919,0.0,0.5333333333333333
TUTasc,3,-0.16749098896231548,0.03769188419139182,-0.06489955238546183,0.4666666666666667,27,0.6,1,0.004221083940316062,0.17186075464886166,0.08804091929458886,0.0,0.5666666666666667
TUTasc,4,-0.15328152933948053,0.027827522802833172,-0.06272700326832367,0.6,37,0.7,30,0.05587980641315971,0.214304711629743,0.13509225902145136,0.0,0.5
TUTasc,8,-0.08502901167544795,0.03872231311465481,-0.02315334928039657,0.7333333333333333,3,0.7666666666666667,3,0.07182140207096346,0.15562588030156846,0.11372364118626596,0.0,0.5333333333333333
TUTasc,16,-0.06051617854098841,0.03218970957293283,-0.01416323448402779,0.8333333333333334,1,0.8666666666666667,1,0.11477888637370946,0.1679895657244098,0.14138422604905962,0.0,0.6
TUTasc,32,-0.0425236951239819,0.033254126536742194,-0.0046347842936198536,0.8666666666666667,1,0.9,3,0.13616908731487676,0.17190010722227106,0.1540345972685739,0.0,0.6
TUTasc,64,-0.0394130260361361,0.03335885883642485,-0.0030270835998556234,0.8333333333333334,1,0.8666666666666667,3,0.14686045712141998,0.17678211940311947,0.1618212882622697,0.0,0.5666666666666667
